iso3,country,region,income_group,latitude,longitude,country_fr
ABW,Aruba,Latin America & Caribbean ,High income,12.5167,-70.0167,Aruba
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,34.5228,69.1761,Afghanistan
AGO,Angola,Sub-Saharan Africa ,Lower middle income,-8.81155,13.242,Angola
ALB,Albania,Europe & Central Asia,Upper middle income,41.3317,19.8172,Albanie
AND,Andorra,Europe & Central Asia,High income,42.5075,1.5218,Andorre
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,24.4764,54.3705,Émirats arabes unis
ARG,Argentina,Latin America & Caribbean ,Upper middle income,-34.6118,-58.4173,Argentine
ARM,Armenia,Europe & Central Asia,Upper middle income,40.1596,44.509,Arménie
ASM,American Samoa,East Asia & Pacific,High income,-14.2846,-170.691,Samoa américaines
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,17.1175,-61.8456,Antigua-et-Barbuda
AUS,Australia,East Asia & Pacific,High income,-35.282,149.129,Australie
AUT,Austria,Europe & Central Asia,High income,48.2201,16.3798,Autriche
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,40.3834,49.8932,Azerbaïdjan
BDI,Burundi,Sub-Saharan Africa ,Low income,-3.3784,29.3639,Burundi
BEL,Belgium,Europe & Central Asia,High income,50.8371,4.36761,Belgique
BEN,Benin,Sub-Saharan Africa ,Lower middle income,6.4779,2.6323,Bénin
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,12.3605,-1.53395,Burkina Faso
BGD,Bangladesh,South Asia,Lower middle income,23.7055,90.4113,Bangladesh
BGR,Bulgaria,Europe & Central Asia,High income,42.7105,23.3238,Bulgarie
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,26.1921,50.5354,Bahreïn
BHS,"Bahamas, The",Latin America & Caribbean ,High income,25.0661,-77.339,Bahamas
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,43.8607,18.4214,Bosnie-Herzégovine
BLR,Belarus,Europe & Central Asia,Upper middle income,53.9678,27.5766,Bélarus
BLZ,Belize,Latin America & Caribbean ,Upper middle income,17.2534,-88.7713,Belize
BMU,Bermuda,North America,High income,32.3293,-64.706,Bermudes
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,-13.9908,-66.1936,Bolivie
BRA,Brazil,Latin America & Caribbean ,Upper middle income,-15.7801,-47.9292,Brésil
BRB,Barbados,Latin America & Caribbean ,High income,13.0935,-59.6105,Barbade
BRN,Brunei Darussalam,East Asia & Pacific,High income,4.94199,114.946,Brunéi Darussalam
BTN,Bhutan,South Asia,Lower middle income,27.5768,89.6177,Bhoutan
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,-24.6544,25.9201,Botswana
CAF,Central African Republic,Sub-Saharan Africa ,Low income,5.63056,21.6407,République centrafricaine
CAN,Canada,North America,High income,45.4215,-75.6919,Canada
CHE,Switzerland,Europe & Central Asia,High income,46.948,7.44821,Suisse
CHI,Channel Islands,Europe & Central Asia,High income,,,Îles Anglo-Normandes
CHL,Chile,Latin America & Caribbean ,High income,-33.475,-70.6475,Chili
CHN,China,East Asia & Pacific,Upper middle income,40.0495,116.286,Chine
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,5.332,-4.0305,Côte d'Ivoire
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,3.8721,11.5174,Cameroun
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,-4.325,15.3222,Congo (Rép. dém.)
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,-4.2767,15.2662,Congo (Rép.)
COL,Colombia,Latin America & Caribbean ,Upper middle income,4.60987,-74.082,Colombie
COM,Comoros,Sub-Saharan Africa ,Lower middle income,-11.6986,43.2418,Comores
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,14.9218,-23.5087,Cabo Verde
CRI,Costa Rica,Latin America & Caribbean ,High income,9.63701,-84.0089,Costa Rica
CUB,Cuba,Latin America & Caribbean ,Upper middle income,23.1333,-82.3667,Cuba
CUW,Curacao,Latin America & Caribbean ,High income,,,Curaçao
CYM,Cayman Islands,Latin America & Caribbean ,High income,19.3022,-81.3857,Îles Caïmans
CYP,Cyprus,Europe & Central Asia,High income,35.1676,33.3736,Chypre
CZE,Czechia,Europe & Central Asia,High income,50.0878,14.4205,Tchéquie
DEU,Germany,Europe & Central Asia,High income,52.5235,13.4115,Allemagne
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,11.5806,43.1425,Djibouti
DMA,Dominica,Latin America & Caribbean ,Upper middle income,15.2976,-61.39,Dominique
DNK,Denmark,Europe & Central Asia,High income,55.6763,12.5681,Danemark
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,18.479,-69.8908,République dominicaine
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,36.7397,3.05097,Algérie
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,-0.229498,-78.5243,Équateur
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,30.0982,31.2461,Égypte
ERI,Eritrea,Sub-Saharan Africa ,Low income,15.3315,38.9183,Érythrée
ESP,Spain,Europe & Central Asia,High income,40.4167,-3.70327,Espagne
EST,Estonia,Europe & Central Asia,High income,59.4392,24.7586,Estonie
ETH,Ethiopia,Sub-Saharan Africa ,Low income,9.02274,38.7468,Éthiopie
FIN,Finland,Europe & Central Asia,High income,60.1608,24.9525,Finlande
FJI,Fiji,East Asia & Pacific,Upper middle income,-18.1149,178.399,Fidji
FRA,France,Europe & Central Asia,High income,48.8566,2.35097,France
FRO,Faroe Islands,Europe & Central Asia,High income,61.8926,-6.91181,Îles Féroé
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,6.91771,158.185,Micronésie
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,0.38832,9.45162,Gabon
GBR,United Kingdom,Europe & Central Asia,High income,51.5002,-0.126236,Royaume-Uni
GEO,Georgia,Europe & Central Asia,Upper middle income,41.71,44.793,Géorgie
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,5.57045,-0.20795,Ghana
GIB,Gibraltar,Europe & Central Asia,High income,,,Gibraltar
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,9.51667,-13.7,Guinée
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,13.4495,-16.5885,Gambie
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,11.8037,-15.1804,Guinée-Bissau
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,3.7523,8.7741,Guinée équatoriale
GRC,Greece,Europe & Central Asia,High income,37.9792,23.7166,Grèce
GRD,Grenada,Latin America & Caribbean ,Upper middle income,12.0653,-61.7449,Grenade
GRL,Greenland,Europe & Central Asia,High income,64.1836,-51.7214,Groenland
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,14.6248,-90.5328,Guatemala
GUM,Guam,East Asia & Pacific,High income,13.4443,144.794,Guam
GUY,Guyana,Latin America & Caribbean ,High income,6.80461,-58.1548,Guyana
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,22.3964,114.109,Hong Kong
HND,Honduras,Latin America & Caribbean ,Lower middle income,15.1333,-87.4667,Honduras
HRV,Croatia,Europe & Central Asia,High income,45.8069,15.9614,Croatie
HTI,Haiti,Latin America & Caribbean ,Lower middle income,18.5392,-72.3288,Haïti
HUN,Hungary,Europe & Central Asia,High income,47.4984,19.0408,Hongrie
IDN,Indonesia,East Asia & Pacific,Upper middle income,-6.19752,106.83,Indonésie
IMN,Isle of Man,Europe & Central Asia,High income,54.1509,-4.47928,Île de Man
IND,India,South Asia,Lower middle income,28.6353,77.225,Inde
IRL,Ireland,Europe & Central Asia,High income,53.3441,-6.26749,Irlande
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,35.6878,51.4447,Iran
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,33.3302,44.394,Iraq
ISL,Iceland,Europe & Central Asia,High income,64.1353,-21.8952,Islande
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,31.7717,35.2035,Israël
ITA,Italy,Europe & Central Asia,High income,41.8955,12.4823,Italie
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,17.9927,-76.792,Jamaïque
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,31.9497,35.9263,Jordanie
JPN,Japan,East Asia & Pacific,High income,35.67,139.77,Japon
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,51.1879,71.4382,Kazakhstan
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,-1.27975,36.8126,Kenya
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,42.8851,74.6057,Kirghizistan
KHM,Cambodia,East Asia & Pacific,Lower middle income,11.5556,104.874,Cambodge
KIR,Kiribati,East Asia & Pacific,Lower middle income,1.32905,172.979,Kiribati
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,17.3,-62.7309,Saint-Kitts-et-Nevis
KOR,"Korea, Rep.",East Asia & Pacific,High income,37.5323,126.957,Corée du Sud
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,29.3721,47.9824,Koweït
LAO,Lao PDR,East Asia & Pacific,Lower middle income,18.5826,102.177,Laos
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,33.8872,35.5134,Liban
LBR,Liberia,Sub-Saharan Africa ,Low income,6.30039,-10.7957,Libéria
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,32.8578,13.1072,Libye
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,14.0,-60.9832,Sainte-Lucie
LIE,Liechtenstein,Europe & Central Asia,High income,47.1411,9.52148,Liechtenstein
LKA,Sri Lanka,South Asia,Upper middle income,6.92148,79.8528,Sri Lanka
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,-29.5208,27.7167,Lesotho
LTU,Lithuania,Europe & Central Asia,High income,54.6896,25.2799,Lituanie
LUX,Luxembourg,Europe & Central Asia,High income,49.61,6.1296,Luxembourg
LVA,Latvia,Europe & Central Asia,High income,56.9465,24.1048,Lettonie
MAC,"Macao SAR, China",East Asia & Pacific,High income,22.1667,113.55,Macao
MAF,St. Martin (French part),Latin America & Caribbean ,High income,,,Saint-Martin (partie française)
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,33.9905,-6.8704,Maroc
MCO,Monaco,Europe & Central Asia,High income,43.7325,7.41891,Monaco
MDA,Moldova,Europe & Central Asia,Upper middle income,47.0167,28.8497,Moldavie
MDG,Madagascar,Sub-Saharan Africa ,Low income,-20.4667,45.7167,Madagascar
MDV,Maldives,South Asia,Upper middle income,4.1742,73.5109,Maldives
MEX,Mexico,Latin America & Caribbean ,Upper middle income,19.427,-99.1276,Mexique
